fold,attack_id,precision,recall,feature_runtime_sec,feature_memory_bytes,runtime_sec,memory_bytes
1,3,0.996503496502335,0.9661016949141626,0.015651702880859375,1159168,0.34802842140197754,-4096
2,3,0.9953863898489096,0.9751412429367513,0.01568746566772461,569344,0.4121866226196289,-1359872
3,3,0.999999999998829,0.9649717514113391,0.0,278528,0.3320920467376709,-1507328
4,3,0.9999999999988207,0.9581920903943976,0.0,573440,0.367938756942749,-569344
5,3,0.9999999999988222,0.9593220338972211,0.0,573440,0.33577799797058105,-1302528
