fold,attack_id,precision,recall,feature_runtime_sec,feature_memory_bytes,runtime_sec,memory_bytes
1,,0.18367346938400667,0.1084337349384526,0.013604879379272461,5738496,30.202237129211426,626688
2,,0.17647058823183392,0.1084337349384526,0.010049104690551758,5771264,28.66635274887085,-700416
3,,0.19148936169805345,0.1084337349384526,0.009543180465698242,5738496,27.672687530517578,5779456
4,,0.21428571428061227,0.1084337349384526,0.0092010498046875,5738496,28.34874963760376,3039232
5,,0.22857142856489798,0.09638554216751342,0.0,5738496,27.138089418411255,1531904
