fold,attack_id,precision,recall,feature_runtime_sec,feature_memory_bytes,runtime_sec,memory_bytes
1,7,0.9999999999902912,0.9809523809430385,0.00010466575622558594,0,6.71436882019043,0
2,7,0.9999999999902912,0.9809523809430385,9.107589721679688e-05,0,6.9286463260650635,0
3,7,0.9902912621263078,0.9714285714193197,8.368492126464844e-05,0,7.08432674407959,0
4,7,0.9999999999902912,0.9809523809430385,9.775161743164062e-05,0,7.054410934448242,0
5,7,0.9902912621263078,0.9714285714193197,0.00010991096496582031,0,7.110620021820068,0
