state,P1_FT01,P1_FT02,P1_FT03,P1_PIT01,P1_PIT02,P1_LIT01,P1_TIT01,P1_TIT02,P2_SIT01,P2_VT01,P3_FIT01,P3_LIT01,P3_PIT01,P4_HT_FD,P4_HT_LD,P4_HT_PO,P4_HT_PS,P4_ST_FD,P4_ST_LD,P4_ST_PO,P4_ST_PS,P4_ST_PT01,P4_ST_TT01
"(np.float64(100.0), np.float64(0.0), np.float64(55.0), np.float64(10.0), np.float64(70.0), np.float64(10.0), np.float64(100.0), np.float64(0.0), np.float64(1.0))",0.4593154012234616,0.16368297948902477,0.6348056854983808,0.2858942065491184,0.0438557034904642,0.9962216624685138,0.26720492983087435,0.4422679021230658,0.6590725080964376,0.2946428571428571,0.2879632961496942,0.42497301187477504,0.2909769701331414,0.24188107232817563,0.25537513494062614,0.13790931989924438,0.0,0.08829614969413457,0.4680190716084922,0.2862315581144297,0.0,0.08660939186757824,0.14715275278877296
"(np.float64(15.0), np.float64(25.0), np.float64(50.0), np.float64(10.0), np.float64(40.0), np.float64(10.0), np.float64(100.0), np.float64(0.0), np.float64(1.0))",0.644284128745838,0.1759156492785794,1.0,0.5571587125416204,0.09211986681465034,1.0,1.0,0.6037735849056604,0.4553274139844617,0.19811320754716982,0.42452830188679247,0.8490566037735849,0.42656307806141325,0.143544210136885,0.2773769885312615,0.27266000739918606,0.0,0.2299297077321495,0.3444321124676285,0.3139104698483166,0.0,0.543747687754347,0.2919903810580836
"(np.float64(10.0), np.float64(5.0), np.float64(50.0), np.float64(5.0), np.float64(40.0), np.float64(10.0), np.float64(100.0), np.float64(0.0), np.float64(1.0))",1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,0.6,0.6,0.6,0.6,1.0,0.4,0.8,1.0,0.0,0.4,0.6,1.0,0.0,1.0,1.0
"(np.float64(15.0), np.float64(60.0), np.float64(65.0), np.float64(15.0), np.float64(80.0), np.float64(10.0), np.float64(100.0), np.float64(0.0), np.float64(1.0))",1.0,1.0,1.0,1.0,0.33333333333333337,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0
"(np.float64(15.0), np.float64(30.0), np.float64(50.0), np.float64(5.0), np.float64(50.0), np.float64(10.0), np.float64(100.0), np.float64(0.0), np.float64(1.0))",0.7067307692307692,0.27403846153846156,1.0,0.6875,0.14903846153846154,1.0,1.0,1.0,0.4567307692307692,0.19230769230769232,1.0,0.8125,1.0,0.2932692307692308,1.0,1.0,0.0,0.25961538461538464,0.6971153846153846,1.0,0.0,0.038461538461538464,0.8125
"(np.float64(75.0), np.float64(0.0), np.float64(55.0), np.float64(10.0), np.float64(60.0), np.float64(10.0), np.float64(100.0), np.float64(0.0), np.float64(1.0))",0.4507575757575757,0.4166666666666667,0.7424242424242424,0.3598484848484849,0.45833333333333337,1.0,1.0,1.0,0.40909090909090906,0.45454545454545453,0.9166666666666666,1.0,1.0,0.6666666666666666,1.0,1.0,0.0,0.33333333333333337,0.8333333333333334,1.0,0.0,0.375,0.0
"(np.float64(15.0), np.float64(50.0), np.float64(65.0), np.float64(15.0), np.float64(100.0), np.float64(10.0), np.float64(100.0), np.float64(0.0), np.float64(1.0))",0.31923714759535654,0.24554762419785137,0.7244574230297787,0.2711082269810368,0.1642872593553969,0.8454106280193237,0.7313432835820896,0.26865671641791045,0.8605883625351504,0.1801860263897901,0.14373783257624917,0.22391664864085375,0.24262744249765666,0.09730333838056096,0.15458937198067635,0.18599033816425126,0.321256038647343,0.08897541279111698,0.12077294685990336,0.20509769990626575,0.321256038647343,0.26894512942533705,0.7313432835820896
"(np.float64(35.0), np.float64(0.0), np.float64(50.0), np.float64(10.0), np.float64(45.0), np.float64(10.0), np.float64(100.0), np.float64(0.0), np.float64(1.0))",0.304029304029304,0.2673992673992674,1.0,0.521978021978022,0.28388278388278393,1.0,1.0,1.0,0.7728937728937729,0.1913919413919414,0.7152014652014652,1.0,1.0,0.33974358974358976,0.8791208791208791,0.8791208791208791,0.0,0.08791208791208793,0.5036630036630038,0.35256410256410253,0.0,0.04395604395604396,1.0
"(np.float64(100.0), np.float64(0.0), np.float64(65.0), np.float64(15.0), np.float64(90.0), np.float64(10.0), np.float64(100.0), np.float64(0.0), np.float64(1.0))",0.34981351374793995,0.14589296556509668,0.3396290513776853,0.39699887240870846,0.28942955445687685,0.3527481423656287,0.4848281146095354,0.45379044149535946,0.5868968109405268,0.21117038193540924,0.30968282880851183,0.5357142857142857,0.41676786075693184,0.12285685373117067,0.15109723306444622,0.13661925000722813,0.7166276346604216,0.04016682568595137,0.2367508023245728,0.16642090959030847,0.7166276346604216,0.36181946974296697,0.4507401624887964
"(np.float64(80.0), np.float64(0.0), np.float64(70.0), np.float64(15.0), np.float64(100.0), np.float64(10.0), np.float64(100.0), np.float64(0.0), np.float64(1.0))",0.8409090909090909,0.75,1.0,0.9772727272727273,0.6363636363636364,1.0,0.9772727272727273,0.9772727272727273,0.8636363636363636,0.6136363636363636,0.9772727272727273,0.7045454545454546,0.8863636363636364,0.5454545454545454,1.0,1.0,0.0,0.15909090909090912,1.0,1.0,0.0,0.9772727272727273,0.9772727272727273
"(np.float64(70.0), np.float64(0.0), np.float64(55.0), np.float64(10.0), np.float64(45.0), np.float64(10.0), np.float64(100.0), np.float64(0.0), np.float64(1.0))",1.0,0.18896321070234115,1.0,1.0,0.16220735785953178,1.0,1.0,1.0,0.48327759197324416,0.22240802675585283,0.8260869565217391,1.0,1.0,0.5384615384615384,1.0,1.0,0.0,0.3311036789297659,1.0,1.0,0.0,0.4782608695652174,1.0
"(np.float64(10.0), np.float64(5.0), np.float64(70.0), np.float64(15.0), np.float64(100.0), np.float64(10.0), np.float64(100.0), np.float64(0.0), np.float64(1.0))",0.34210526315789475,0.24342105263157898,0.8421052631578947,0.39473684210526316,0.17105263157894735,1.0,0.5,0.5,1.0,0.1578947368421053,0.7894736842105263,0.5,0.6842105263157895,0.27631578947368424,0.368421052631579,0.368421052631579,1.0,0.29605263157894735,0.21052631578947367,0.42105263157894735,1.0,0.3421052631578947,0.5
"(np.float64(20.0), np.float64(25.0), np.float64(65.0), np.float64(15.0), np.float64(100.0), np.float64(10.0), np.float64(100.0), np.float64(0.0), np.float64(1.0))",0.9333333333333333,0.8666666666666667,0.5111111111111111,0.9111111111111111,0.4444444444444444,0.5555555555555556,1.0,1.0,0.8444444444444444,0.39999999999999997,0.7111111111111111,0.9111111111111111,0.9555555555555556,0.5111111111111111,0.9555555555555556,0.9555555555555556,0.4888888888888889,0.3333333333333333,0.8888888888888888,0.9333333333333333,0.4888888888888889,0.9111111111111111,1.0
"(np.float64(30.0), np.float64(0.0), np.float64(50.0), np.float64(5.0), np.float64(45.0), np.float64(10.0), np.float64(100.0), np.float64(0.0), np.float64(1.0))",0.9615384615384616,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,0.5128205128205128,0.7692307692307693,1.0,1.0,0.5,0.7307692307692308,0.8846153846153846,0.7692307692307692,0.0,0.6153846153846154,0.8846153846153846,1.0,0.0,0.9615384615384616,1.0
"(np.float64(15.0), np.float64(30.0), np.float64(50.0), np.float64(5.0), np.float64(45.0), np.float64(10.0), np.float64(100.0), np.float64(0.0), np.float64(1.0))",0.44690265486725667,0.4933628318584071,1.0,0.42035398230088494,0.25663716814159293,1.0,1.0,0.911504424778761,0.8407079646017699,0.6189159292035398,0.5486725663716814,1.0,0.8230088495575221,0.33517699115044247,0.49557522123893805,0.40707964601769914,0.0,0.26548672566371684,0.5398230088495575,0.3893805309734514,0.0,0.34126106194690264,0.2511061946902655
"(np.float64(15.0), np.float64(30.0), np.float64(65.0), np.float64(15.0), np.float64(95.0), np.float64(10.0), np.float64(100.0), np.float64(0.0), np.float64(1.0))",0.21666666666666665,0.14920634920634912,0.34365079365079365,0.2365079365079365,0.12222222222222223,0.3650793650793651,0.9833333333333333,0.8666666666666667,0.5619047619047619,0.18333333333333332,0.24285714285714283,0.4936507936507937,0.3190476190476191,0.29603174603174603,0.3047619047619048,0.2722222222222222,0.6507936507936508,0.0936507936507937,0.4031746031746032,0.4388888888888889,0.6507936507936508,0.12698412698412698,0.9833333333333333
"(np.float64(100.0), np.float64(0.0), np.float64(60.0), np.float64(15.0), np.float64(100.0), np.float64(10.0), np.float64(100.0), np.float64(0.0), np.float64(1.0))",0.22553666789250087,0.354579280650839,0.6621334448138427,0.3005952846388575,0.2177592578828903,1.0,0.44541246471830503,0.41875290907217794,0.6921872337297115,0.11821969538799904,0.12776878778972423,0.25445915320062834,0.30111474597905163,0.08919983123149255,0.13944989656721818,0.15612666924516405,0.0,0.01852261776915709,0.0863374734928809,0.07815813389881854,0.0,0.07503862506225233,0.42258550838288395
"(np.float64(85.0), np.float64(0.0), np.float64(65.0), np.float64(15.0), np.float64(100.0), np.float64(10.0), np.float64(100.0), np.float64(0.0), np.float64(1.0))",0.35090909090909084,0.3381818181818182,0.5981818181818181,0.7436363636363637,0.31636363636363635,0.7,0.42727272727272725,1.0,0.890909090909091,0.18727272727272729,0.48,0.3345454545454545,1.0,0.43454545454545457,0.509090909090909,0.6,0.5727272727272728,0.2763636363636364,0.8181818181818181,0.7727272727272727,0.5727272727272728,0.4727272727272727,0.2636363636363636
"(np.float64(15.0), np.float64(0.0), np.float64(50.0), np.float64(5.0), np.float64(35.0), np.float64(10.0), np.float64(100.0), np.float64(0.0), np.float64(1.0))",0.6493506493506493,0.7987012987012987,1.0,0.4675324675324676,0.6493506493506493,0.9155844155844156,1.0,1.0,1.0,0.45670995670995673,0.922077922077922,1.0,1.0,0.461038961038961,0.987012987012987,1.0,0.0,0.5021645021645021,0.6493506493506493,0.6298701298701299,0.0,0.6233766233766234,1.0
"(np.float64(15.0), np.float64(60.0), np.float64(65.0), np.float64(15.0), np.float64(100.0), np.float64(10.0), np.float64(100.0), np.float64(0.0), np.float64(1.0))",0.6923076923076923,0.2087912087912088,0.7802197802197802,0.8021978021978022,0.18681318681318682,0.8571428571428572,0.7692307692307693,0.4285714285714286,0.978021978021978,0.3076923076923077,0.7692307692307692,0.5604395604395604,0.8571428571428571,0.29670329670329676,0.7692307692307692,0.7802197802197802,0.43956043956043955,0.23076923076923073,0.5824175824175823,0.7802197802197802,0.43956043956043955,0.7142857142857143,0.7692307692307693
"(np.float64(40.0), np.float64(0.0), np.float64(65.0), np.float64(15.0), np.float64(100.0), np.float64(10.0), np.float64(100.0), np.float64(0.0), np.float64(1.0))",0.2900407687827607,0.1855950300912444,0.5249466123082895,0.528052805280528,0.18578916715200933,0.6386138613861386,0.7970297029702971,1.0,0.7983886623956513,0.1568627450980392,0.29732090856144433,0.35148514851485146,0.32032615026208505,0.24878664337021938,0.3217821782178218,0.5440691127936323,0.4752475247524752,0.17715006794797122,0.4656377402446127,0.2594641817122889,0.4752475247524752,0.21063871092991648,0.25742574257425743
"(np.float64(20.0), np.float64(0.0), np.float64(65.0), np.float64(15.0), np.float64(100.0), np.float64(10.0), np.float64(100.0), np.float64(0.0), np.float64(1.0))",0.11740127487562191,0.17093827736318412,0.5006996268656716,0.1534359452736319,0.22505441542288562,0.5559273942786069,0.8776119402985074,0.8166083644278607,0.48379586442786066,0.2593711131840797,0.3789101368159204,0.20530939054726366,0.29687888681592034,0.1402324315920398,0.47769356343283587,0.5411497201492538,0.5169270833333334,0.03175139925373133,0.1356187810945274,0.11694651741293527,0.5169270833333334,0.1175606343283582,0.8776119402985074
"(np.float64(15.0), np.float64(35.0), np.float64(50.0), np.float64(5.0), np.float64(45.0), np.float64(10.0), np.float64(100.0), np.float64(0.0), np.float64(1.0))",0.8333333333333334,0.42000000000000004,1.0,0.8333333333333334,0.89,1.0,1.0,1.0,0.9,0.41333333333333333,0.52,0.74,0.8,0.75,0.34666666666666673,0.51,0.0,0.22666666666666663,0.3633333333333334,0.3733333333333334,0.0,0.8333333333333334,1.0
"(np.float64(30.0), np.float64(0.0), np.float64(65.0), np.float64(15.0), np.float64(100.0), np.float64(10.0), np.float64(100.0), np.float64(0.0), np.float64(1.0))",0.30735252208606445,0.17127386719863208,0.578512396694215,0.40111142775719577,0.19763465374750644,0.6259618124821886,0.8677685950413223,0.8677685950413223,0.6429182103163293,0.2777144485608435,0.2979481333713309,0.7705899116557424,0.42747221430607013,0.23510971786833856,0.2455115417497863,0.23168994015389,0.46394984326018807,0.07366771159874608,0.11812482188657736,0.11783984041037332,0.46394984326018807,0.31903676261043035,0.8677685950413223
"(np.float64(15.0), np.float64(0.0), np.float64(65.0), np.float64(15.0), np.float64(95.0), np.float64(10.0), np.float64(100.0), np.float64(0.0), np.float64(1.0))",0.48484848484848486,0.6212121212121212,0.8939393939393939,1.0,0.6515151515151515,0.9242424242424242,1.0,1.0,0.6628787878787878,0.36363636363636365,0.40909090909090906,1.0,0.5303030303030303,0.12121212121212122,0.5454545454545454,0.5454545454545454,0.9242424242424242,0.3939393939393939,0.8939393939393939,0.6666666666666666,0.9242424242424242,0.6363636363636364,1.0
"(np.float64(20.0), np.float64(25.0), np.float64(50.0), np.float64(10.0), np.float64(50.0), np.float64(10.0), np.float64(100.0), np.float64(0.0), np.float64(1.0))",0.35,0.30000000000000004,1.0,0.5,0.6,1.0,1.0,1.0,0.75,0.8,1.0,0.5,1.0,0.6,1.0,1.0,0.0,0.4,1.0,1.0,0.0,0.0,0.6
"(np.float64(15.0), np.float64(40.0), np.float64(50.0), np.float64(10.0), np.float64(40.0), np.float64(10.0), np.float64(100.0), np.float64(0.0), np.float64(1.0))",0.625,0.45833333333333326,1.0,1.0,0.8888888888888888,1.0,1.0,1.0,1.0,0.2777777777777778,0.5,1.0,0.75,0.2222222222222222,0.5833333333333334,0.6666666666666666,0.0,0.1527777777777778,0.5555555555555556,0.6388888888888888,0.0,0.5,0.4444444444444444
"(np.float64(100.0), np.float64(0.0), np.float64(55.0), np.float64(10.0), np.float64(50.0), np.float64(10.0), np.float64(100.0), np.float64(0.0), np.float64(1.0))",0.2761859649845426,0.10039747647062858,0.5225028432038845,0.24428395883818788,0.2274407503769963,1.0,0.3094760495827298,0.3094760495827298,0.6446935632610005,0.26415824002819177,0.23129560853716305,0.3233907008354557,0.46006723004436995,0.13689162873821242,0.21247394206500125,0.20037299173697443,0.0,0.033781609905562116,0.17474868823611522,0.17148420963508598,0.0,0.11715372980295508,0.2988176390767196
"(np.float64(20.0), np.float64(25.0), np.float64(50.0), np.float64(10.0), np.float64(40.0), np.float64(10.0), np.float64(100.0), np.float64(0.0), np.float64(1.0))",0.6488888888888888,0.6488888888888888,1.0,0.84,0.2088888888888888,1.0,1.0,0.92,0.4177777777777778,0.56,0.56,0.84,0.8,0.22666666666666663,0.4577777777777778,0.56,0.0,0.24,0.24444444444444446,0.3244444444444444,0.0,0.76,0.64
"(np.float64(10.0), np.float64(95.0), np.float64(70.0), np.float64(15.0), np.float64(100.0), np.float64(10.0), np.float64(100.0), np.float64(0.0), np.float64(1.0))",0.1084529505582137,0.6287878787878788,1.0,0.5267145135566189,0.5944976076555024,1.0,0.1742424242424243,0.7906698564593302,0.7145135566188198,0.11084529505582136,0.4473684210526316,1.0,0.21052631578947367,0.15629984051036683,0.189792663476874,0.20574162679425834,1.0,0.0777511961722488,0.35247208931419455,0.3532695374800638,1.0,0.4059011164274322,0.0
"(np.float64(20.0), np.float64(30.0), np.float64(65.0), np.float64(15.0), np.float64(95.0), np.float64(10.0), np.float64(100.0), np.float64(0.0), np.float64(1.0))",0.5555555555555556,0.38888888888888884,0.2222222222222222,0.5,0.2222222222222222,0.3888888888888889,1.0,1.0,0.8888888888888888,0.4444444444444444,0.38888888888888895,0.9722222222222222,0.4444444444444444,0.3333333333333333,0.7222222222222222,0.6666666666666667,1.0,0.3611111111111111,0.8611111111111112,1.0,1.0,0.25,1.0
"(np.float64(15.0), np.float64(30.0), np.float64(50.0), np.float64(10.0), np.float64(45.0), np.float64(10.0), np.float64(100.0), np.float64(0.0), np.float64(1.0))",0.2857142857142857,0.5928571428571429,1.0,0.2375,0.23214285714285715,1.0,1.0,0.6785714285714286,0.8642857142857143,0.33035714285714285,0.3875,0.8214285714285714,0.7125,0.22142857142857145,0.4589285714285714,0.4214285714285714,0.0,0.22857142857142865,0.3625,0.4,0.0,0.21428571428571427,0.3803571428571429
"(np.float64(15.0), np.float64(65.0), np.float64(65.0), np.float64(15.0), np.float64(100.0), np.float64(10.0), np.float64(100.0), np.float64(0.0), np.float64(1.0))",0.5625,0.23611111111111105,0.75,0.5833333333333333,0.2708333333333333,0.8541666666666666,0.6666666666666666,0.41666666666666663,0.8888888888888888,0.2777777777777778,0.9375,0.45833333333333337,0.6666666666666666,0.6875,0.5416666666666667,0.5833333333333333,0.2708333333333333,0.4930555555555556,0.7916666666666666,0.8958333333333334,0.2708333333333333,0.5833333333333333,0.6666666666666666
"(np.float64(15.0), np.float64(25.0), np.float64(65.0), np.float64(15.0), np.float64(100.0), np.float64(10.0), np.float64(100.0), np.float64(0.0), np.float64(1.0))",0.34001887682869275,0.15710240679565834,0.49230769230769234,0.40700015730690575,0.13758061978920877,0.5410256410256411,0.8957055214723927,0.39263803680981596,0.7650306748466258,0.29136385087305333,0.30449897750511246,0.36923076923076925,0.43831996224634256,0.0924335378323109,0.1571967909391222,0.18787163756488912,0.5128205128205128,0.08393896492055997,0.10748780871480257,0.13529966965549783,0.5128205128205128,0.3619474594934718,0.8957055214723927
"(np.float64(15.0), np.float64(40.0), np.float64(50.0), np.float64(5.0), np.float64(45.0), np.float64(10.0), np.float64(100.0), np.float64(0.0), np.float64(1.0))",0.6,0.7,1.0,0.6,1.0,1.0,1.0,1.0,1.0,0.4,0.5,1.0,0.5,0.9,0.5,0.5,0.0,0.9,0.6,0.6,0.0,0.5,0.8
"(np.float64(15.0), np.float64(25.0), np.float64(65.0), np.float64(15.0), np.float64(90.0), np.float64(10.0), np.float64(100.0), np.float64(0.0), np.float64(1.0))",0.5468844525105868,0.4234724742891712,0.3793103448275862,0.529340592861464,0.40834845735027225,0.5862068965517242,1.0,1.0,0.4649122807017544,0.24621899576527523,0.29885057471264365,0.7586206896551724,0.2888687235329704,0.14912280701754388,0.18965517241379315,0.2371445856019359,1.0,0.11131276467029638,0.4246823956442832,0.47580157289776165,1.0,0.5471869328493648,1.0
"(np.float64(10.0), np.float64(10.0), np.float64(65.0), np.float64(15.0), np.float64(100.0), np.float64(10.0), np.float64(100.0), np.float64(0.0), np.float64(1.0))",0.65,0.35,0.65,0.7,0.6,0.75,0.6666666666666666,0.6666666666666666,1.0,0.4666666666666666,0.55,0.65,0.95,0.2833333333333333,0.5,0.6166666666666667,0.35,0.7,0.6166666666666667,0.6166666666666667,0.35,0.6,0.6666666666666666
"(np.float64(15.0), np.float64(5.0), np.float64(50.0), np.float64(10.0), np.float64(40.0), np.float64(10.0), np.float64(100.0), np.float64(0.0), np.float64(1.0))",0.19761904761904758,0.4202380952380953,1.0,0.692857142857143,0.16309523809523807,1.0,1.0,1.0,0.4869047619047619,0.305952380952381,0.7142857142857143,0.6726190476190477,0.6476190476190476,0.21428571428571427,0.319047619047619,0.39761904761904765,0.0,0.1261904761904762,0.5107142857142857,0.43333333333333335,0.0,0.530952380952381,0.6
"(np.float64(0.0), np.float64(95.0), np.float64(65.0), np.float64(15.0), np.float64(65.0), np.float64(10.0), np.float64(100.0), np.float64(0.0), np.float64(1.0))",1.0,0.19999999999999996,1.0,1.0,0.15999999999999998,1.0,1.0,1.0,0.24,0.6799999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.44,1.0,1.0,1.0,1.0,1.0
"(np.float64(25.0), np.float64(0.0), np.float64(50.0), np.float64(10.0), np.float64(40.0), np.float64(10.0), np.float64(100.0), np.float64(0.0), np.float64(1.0))",0.42888888888888893,0.35555555555555557,1.0,0.84,0.30666666666666664,1.0,1.0,1.0,0.7422222222222222,0.18000000000000002,0.7333333333333333,0.6355555555555555,0.44000000000000006,0.7333333333333334,0.6133333333333333,0.6133333333333333,0.0,0.1422222222222222,0.6133333333333333,0.6133333333333333,0.0,0.5177777777777778,0.9377777777777777
"(np.float64(15.0), np.float64(35.0), np.float64(50.0), np.float64(5.0), np.float64(50.0), np.float64(10.0), np.float64(100.0), np.float64(0.0), np.float64(1.0))",0.75,0.5714285714285714,1.0,0.5238095238095238,0.7619047619047619,1.0,1.0,1.0,0.7142857142857143,0.47619047619047616,1.0,0.9523809523809523,1.0,0.5595238095238095,1.0,1.0,0.0,0.30952380952380953,1.0,1.0,0.0,0.25,0.9047619047619048
