fold,precision,recall,feature_runtime_sec,feature_memory_bytes,runtime_sec,memory_bytes
1,0.9999999999952381,0.9999999999952381,1.2673468589782715,2135662592,174.4610357284546,2890731520
2,0.9999999999952381,0.9999999999952381,1.244945764541626,2895024128,141.41573786735535,3172478976
3,0.9999999999952381,0.9999999999952381,1.2364356517791748,3196256256,106.77910566329956,3586015232
4,0.9999999999952381,0.9999999999952381,1.1967811584472656,3589263360,149.10032415390015,3718029312
5,0.9999999999952381,0.9999999999952381,1.2088239192962646,3742105600,138.53061413764954,4168572928
