fold,attack_id,precision,recall,feature_runtime_sec,feature_memory_bytes,runtime_sec,memory_bytes
1,1,0.9999999999990177,0.9999999999990177,0.00020599365234375,0,3.1714205741882324,0
2,1,0.9999999999990177,0.9999999999990177,0.00010132789611816406,0,3.1271822452545166,0
3,1,0.9999999999990177,0.9999999999990177,0.00010514259338378906,0,3.1204559803009033,0
4,1,0.9999999999990177,0.9999999999990177,9.703636169433594e-05,0,3.124690055847168,0
5,1,0.9999999999990177,0.9999999999990177,0.00010704994201660156,0,3.126635789871216,0
