fold,attack_id,precision,recall,feature_runtime_sec,feature_memory_bytes,runtime_sec,memory_bytes
1,7,0.9999999999951924,0.9999999999951924,0.00018167495727539062,0,3.180248498916626,5623808
2,7,0.9999999999951924,0.9999999999951924,9.512901306152344e-05,0,3.150961399078369,2301952
3,7,0.9999999999951924,0.9999999999951924,0.00010251998901367188,0,3.1474475860595703,0
4,7,0.9999999999951924,0.9999999999951924,9.846687316894531e-05,0,3.1270861625671387,1150976
5,7,0.9999999999951924,0.9999999999951924,9.250640869140625e-05,0,3.1483383178710938,3452928
