fold,attack_id,precision,recall,feature_runtime_sec,feature_memory_bytes,runtime_sec,memory_bytes
1,2,0.9999999999990177,0.9999999999990177,0.00015354156494140625,0,0.1776866912841797,0
2,2,0.9999999999990177,0.9999999999990177,0.00019860267639160156,0,0.1836099624633789,7340032
3,2,0.9999999999990177,0.9999999999990177,0.00015020370483398438,0,0.18186593055725098,10219520
4,2,0.9999999999990177,0.9999999999990177,0.00016069412231445312,0,0.18309712409973145,9138176
5,2,0.9999999999990177,0.9999999999990177,0.0001938343048095703,0,0.17985939979553223,9052160
