fold,attack_id,precision,recall,feature_runtime_sec,feature_memory_bytes,runtime_sec,memory_bytes
1,7,0.9999999999990177,0.9999999999990177,0.0001742839813232422,0,0.3019278049468994,18866176
2,7,0.9999999999990177,0.9999999999990177,0.00010776519775390625,0,0.3264892101287842,1753088
3,7,0.9999999999990177,0.9999999999990177,0.00011277198791503906,0,0.32044339179992676,0
4,7,0.9999999999990177,0.9999999999990177,0.0001201629638671875,0,0.3140897750854492,3436544
5,7,0.9999999999990177,0.9999999999990177,0.00010776519775390625,0,0.3086574077606201,1146880
