Feature,Avg_Absolute_Weight
f2,1.0946413416296734
f6,0.7834494246478074
f0,0.7176975656337811
f5,0.5996839957184793
f7,0.5938979474763086
f3,0.5177802134741303
f4,0.48511315352655937
f1,0.2631456706032763
