fold,precision,recall,feature_runtime_sec,feature_memory_bytes,runtime_sec,memory_bytes
1,0.9999999999990187,0.9941463414624447,1.2461369037628174,2118557696,145.93823409080505,2815225856
2,0.9999999999990158,0.9912195121941549,1.2626476287841797,2819350528,62.78006720542908,2934444032
3,0.9999999999989669,0.9443902439015177,1.2409791946411133,2958843904,101.00989556312561,3415556096
4,0.9990167158298928,0.9912195121941549,1.2308835983276367,3419885568,61.60688376426697,3428102144
5,0.9980099502477632,0.978536585364899,1.234025478363037,3459657728,86.34001040458679,3811061760
