fold,attack_id,precision,recall,feature_runtime_sec,feature_memory_bytes,runtime_sec,memory_bytes
1,,0.1818181818140496,0.09638554216751342,0.021006345748901367,5746688,156.3899998664856,17088512
2,,0.19047619047165534,0.09638554216751342,0.02500629425048828,5738496,57.60703158378601,18046976
3,,0.21621621621037254,0.09638554216751342,0.009000778198242188,5742592,37.64642524719238,18632704
4,,0.2666666666577778,0.09638554216751342,0.00896763801574707,5738496,26.732168912887573,18808832
5,,0.3199999999872,0.09638554216751342,0.02323770523071289,5738496,26.50639009475708,18251776
