fold,attack_id,precision,recall,feature_runtime_sec,feature_memory_bytes,runtime_sec,memory_bytes
1,2,0.9999999999987639,0.9141242937842778,0.01609945297241211,0,2.478518009185791,958464
2,2,0.9952885747927028,0.9548022598859268,0.008458614349365234,0,2.642505645751953,4096
3,2,0.9999999999987639,0.9141242937842778,0.014765024185180664,573440,2.656635046005249,393216
4,2,0.9999999999987531,0.9062146892645128,0.009366512298583984,94208,2.8748953342437744,409600
5,2,0.9999999999987484,0.902824858756042,0.015936613082885742,0,2.8047502040863037,417792
