fold,precision,recall,feature_runtime_sec,feature_memory_bytes,runtime_sec,memory_bytes
1,0.9569892473015377,0.8476190476109751,1.2279787063598633,2292449280,82.70379900932312,2795532288
2,0.9999999999894736,0.904761904753288,1.2034187316894531,2799661056,63.565816164016724,3034968064
3,0.9999999999894736,0.904761904753288,1.219893217086792,3044065280,103.0084536075592,3471982592
4,0.9999999999894736,0.904761904753288,1.202641248703003,3476201472,102.83447265625,3605594112
5,0.9999999999894736,0.904761904753288,1.2376506328582764,3628236800,88.64125967025757,4018458624
