fold,attack_id,precision,recall,feature_runtime_sec,feature_memory_bytes,runtime_sec,memory_bytes
1,4,0.9999999999987715,0.9197740112983958,0.0009984970092773438,0,0.2351701259613037,12517376
2,4,0.9963547995127626,0.9265536723153373,0.0,0,0.22489237785339355,12517376
3,4,0.9999999999987593,0.9107344632758071,0.0020058155059814453,0,0.21899986267089844,12517376
4,4,0.9999999999987593,0.9107344632758071,0.0,0,0.21731805801391602,12517376
5,4,0.9999999999987593,0.9107344632758071,0.0,0,0.507300853729248,12517376
