Latent_Feature,Importance
0,2.7812557312788276e-05
7,2.1561464990949237e-05
6,2.1115202083859653e-05
1,1.5076259516937605e-05
3,1.4521856833848534e-05
5,7.323170274554317e-06
4,-2.820438275370914e-06
2,-0.00012231112407015053
