Latent_Feature,Importance
7,1.9885666267351315e-05
0,9.11633130475883e-06
1,-1.900376571122432e-06
5,-1.8909732707893017e-05
6,-1.9322160611032526e-05
3,-2.8033965369061844e-05
4,-3.051686475550391e-05
2,-0.00014474501794886255
