fold,attack_id,precision,recall,feature_runtime_sec,feature_memory_bytes,runtime_sec,memory_bytes
1,7,0.8522727272630424,0.9036144578204384,0.0010194778442382812,4096,2.174222946166992,-1736704
2,7,0.7289719626100096,0.9397590361332558,0.0,0,2.279974937438965,28672
3,7,0.7878787878708294,0.9397590361332558,0.0,0,2.188990592956543,561152
4,7,0.7549019607769127,0.9277108433623167,0.0,0,2.1914219856262207,188416
5,7,0.757281553390706,0.9397590361332558,0.0010187625885009766,0,2.1805224418640137,-2199552
