fold,precision,recall,feature_runtime_sec,feature_memory_bytes,runtime_sec,memory_bytes
1,0.9999999999990224,0.9980487804868312,1.2528369426727295,2194493440,80.86422181129456,2717188096
2,0.9999999999990216,0.9970731707307345,1.2572765350341797,2724130816,75.37132573127747,2949967872
3,0.9999999999990234,0.9990243902429278,1.2244477272033691,2957869056,106.56769800186157,3444510720
4,0.9999999999990216,0.9970731707307345,1.2294726371765137,3448832000,129.94291305541992,3520155648
5,0.9999999999990216,0.9970731707307345,1.2090818881988525,3551612928,104.3626434803009,3841085440
