fold,attack_id,precision,recall,feature_runtime_sec,feature_memory_bytes,runtime_sec,memory_bytes
1,7,0.9999999999901961,0.9714285714193197,0.0001354217529296875,0,0.16677188873291016,0
2,7,0.9999999999903846,0.9904761904667574,0.00019884109497070312,0,0.1699514389038086,0
3,7,0.9999999999902912,0.9809523809430385,0.00014448165893554688,0,0.1712779998779297,0
4,7,0.9999999999901961,0.9714285714193197,0.00021147727966308594,0,0.17056751251220703,0
5,7,0.9807692307598003,0.9714285714193197,0.00013899803161621094,0,0.17023444175720215,0
